Wavelength,1,2,3
500,245624,0.0277328,9.92E+06
501,266599,0.0277328,1.08E+07
502,288528,0.0261374,1.25E+07
503,311159,0.0276356,1.28E+07
504,332673,0.0280218,1.36E+07
505,356353,0.0274906,1.49E+07
506,379081,0.0263777,1.65E+07
507,401909,0.0274429,1.69E+07
508,423167,0.0274429,1.79E+07
509,443658,0.0276356,1.88E+07
510,459230,0.0275393,1.96E+07
511,475166,0.0264273,2.12E+07
512,485942,0.0272484,2.12E+07
513,495539,0.0275393,2.15E+07
514,502754,0.0281677,2.14E+07
515,506558,0.0261374,2.34E+07
516,508272,0.0258951,2.38E+07
517,508907,0.0278292,2.23E+07
518,504609,0.0271044,2.28E+07
519,502064,0.028264,2.19E+07
520,495184,0.0274906,2.23E+07
521,486344,0.0273943,2.21E+07
522,474535,0.0272007,2.18E+07
523,464871,0.0267658,2.18E+07
524,452734,0.0276356,2.07E+07
525,439919,0.0270071,2.07E+07
526,427492,0.0260401,2.10E+07
527,413543,0.0274429,1.94E+07
528,398397,0.0271044,1.90E+07
529,383483,0.0265722,1.87E+07
530,370300,0.0275393,1.75E+07
531,355059,0.0271044,1.72E+07
532,341160,0.0273943,1.65E+07
533,326988,0.026185,1.66E+07
534,315059,0.0269108,1.56E+07
535,300610,0.026185,1.54E+07
536,288248,0.02841,1.37E+07
537,276553,0.0279255,1.35E+07
538,265649,0.0276833,1.31E+07
539,255979,0.0274906,1.28E+07
540,245327,0.0267162,1.27E+07
541,235516,0.0275393,1.19E+07
542,226140,0.0266685,1.18E+07
543,217745,0.0267658,1.15E+07
544,210057,0.0281677,1.06E+07
545,203036,0.0262337,1.11E+07
546,194281,0.0265236,1.05E+07
547,188502,0.0266685,1.02E+07
548,183077,0.028264,9.38E+06
549,176694,0.0269108,9.56E+06
550,170628,0.0268621,9.30E+06
551,165552,0.0274429,8.88E+06
552,160059,0.027297,8.68E+06
553,154851,0.0274429,8.44E+06
554,150541,0.02841,8.00E+06
555,145555,0.0269585,8.20E+06
556,139620,0.0276833,7.70E+06
557,135981,0.0277328,7.54E+06
558,132155,0.0281677,7.27E+06
559,127865,0.0269108,7.41E+06
560,122715,0.0271521,7.10E+06
561,118137,0.0270071,6.91E+06
562,113635,0.0254107,7.11E+06
563,109872,0.0280714,6.26E+06
564,105714,0.0273466,6.23E+06
565,102153,0.0271521,6.10E+06
566,97980.3,0.0273466,5.85E+06
567,94669.4,0.0260878,5.97E+06
568,90070,0.0278778,5.37E+06
569,87113.1,0.0276356,5.26E+06
570,83516.3,0.0274906,5.10E+06
571,79458.2,0.0274429,4.88E+06
572,76052,0.0264273,4.87E+06
573,72876,0.0276833,4.49E+06
574,69762.1,0.028264,4.24E+06
575,67178,0.0275393,4.23E+06
576,63991.4,0.0273466,4.10E+06
577,61781.3,0.0271044,4.01E+06
578,58616.9,0.0267658,3.88E+06
579,56137,0.0256052,3.91E+06
580,53507,0.0285063,3.38E+06
581,51021.2,0.0264273,3.50E+06
582,48929.4,0.0275393,3.24E+06
583,47049.9,0.0271521,3.18E+06
584,44496.6,0.028264,2.91E+06
585,42717.5,0.0267162,2.97E+06
586,40867.5,0.0268135,2.85E+06
587,38632.5,0.0263777,2.76E+06
588,37222.8,0.0260878,2.71E+06
589,35653.2,0.0272484,2.50E+06
590,34220.2,0.0277815,2.38E+06
591,32769.9,0.0267162,2.38E+06
592,31029,0.0268621,2.25E+06
593,30108.4,0.0266685,2.22E+06
594,28963.8,0.0275393,2.08E+06
595,27623,0.0260878,2.11E+06
596,27035.6,0.0280218,1.94E+06
597,25192.5,0.0274429,1.86E+06
598,24553.2,0.0261374,1.92E+06
599,23531.4,0.02841,1.70E+06
600,22699.3,0.0283127,1.66E+06
601,21871.7,0.0259914,1.75E+06
602,20912.9,0.0262814,1.67E+06
603,19983,0.0271521,1.56E+06
604,19088.8,0.0280714,1.45E+06
605,18580.8,0.027297,1.46E+06
606,17714.6,0.0283613,1.35E+06
607,17016.2,0.0276356,1.34E+06
608,16580.4,0.0265722,1.36E+06
609,15877.4,0.0278778,1.26E+06
610,15385.3,0.0276356,1.25E+06
611,14535.7,0.0267658,1.23E+06
612,14479.2,0.0265722,1.24E+06
613,13866.7,0.0270071,1.18E+06
614,13265.4,0.0274429,1.11E+06
615,12692.5,0.0275393,1.07E+06
616,12212.3,0.0270548,1.06E+06
617,11634.7,0.0257492,1.07E+06
618,11235.3,0.0265236,1.01E+06
619,10793.7,0.0276833,940755
620,10373.4,0.02633,957250
621,10117,0.0281191,882489
622,9703.86,0.0276833,867861
623,9193.32,0.0272484,843458
624,8856.71,0.0278778,801889
625,8654.78,0.0278778,791108
626,8354.43,0.0276833,776314
627,7925.59,0.0272484,755178
628,7601.27,0.0270071,737481
629,7175.61,0.0276356,687856
630,7131.44,0.0259914,734796
631,6587.47,0.0275869,644339
632,6446.99,0.0278292,629812
633,6088.8,0.0284576,588252
634,5999.52,0.0274429,607768
635,5674.51,0.02633,605332
636,5413.75,0.0262337,585562
637,5189.12,0.0277328,536862
638,5086.84,0.0273943,538676
639,4879.3,0.0279255,511789
640,4624.66,0.0273466,500110
641,4542.46,0.0276356,491260
642,4319.94,0.0268621,485710
643,4150.56,0.0273943,462694
644,3893.01,0.0266199,451525
645,3942.11,0.0275393,446447
646,3759.74,0.0278292,425596
647,3497.24,0.0260878,428045
648,3415.09,0.0271521,406988
649,3311.9,0.0267658,404718
650,3247.79,0.0269108,398969
